"school_id","school_name","Facility","School_Code"
1000001,1,1,1
1000002,2,2,2
1000003,3,3,3
1000004,4,4,4
1000005,5,5,5
1000006,6,6,6
1000007,7,7,7
1000008,8,8,8
1000009,9,9,9
1000010,10,10,10
1000011,11,11,11
1000012,12,12,12
1000013,13,13,13
1000014,14,14,14
1000015,15,15,15
1000016,16,16,16
1000017,17,17,17
1000018,18,18,18
1000019,19,19,19
1000020,20,20,20
1000021,21,21,21
1000022,22,22,22
1000023,23,23,23
1000024,24,24,24
1000025,25,25,25
1000026,26,26,26
1000027,27,27,27
1000028,28,28,28
1000029,29,29,29
1000030,30,30,30
1000031,31,31,31
1000032,32,32,32
1000034,34,34,34
1000035,35,35,35
1000036,36,36,36
1000037,37,37,37
1000038,38,38,38
1000039,39,39,39
1000040,40,40,40
1000041,41,41,41
1000042,42,42,42
1000043,43,43,43
1000044,44,44,44
1000045,45,45,45
1000046,46,46,46
1000047,47,47,47
1000048,48,48,48
1000049,49,49,49
1000033,33,33,33
1000033,33,33,33
1000033,33,33,33
1000033,33,33,33
